name,year,latitude,longitude,city,region,rating,zipCode,url,cuisine,price
"Kilian Stuba",2019,47.34858,10.17114,Kleinwalsertal,Austria,"One star",87568,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,Creative,$$$$$
Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,"One star",5300,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,"Classic cuisine",$$$$$
Esszimmer,2019,47.80685,13.03409,Salzburg,Austria,"One star",5020,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,Creative,$$$$$
"Carpe Diem",2019,47.80001,13.04006,Salzburg,Austria,"One star",5020,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,"Market cuisine",$$$$$
Edvard,2019,48.216503,16.36852,Wien,Austria,"One star",1010,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,"Modern cuisine",$$$$
"Das Loft",2019,48.21272,16.37931,Wien,Austria,"One star",1020,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,"Modern cuisine",$$$$$
"Pramerl & the Wolf",2019,48.20945,16.37174,Wien,Austria,"One star",1090,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,Creative,$$$$$
"Walter Bauer",2019,48.20923,16.37672,Wien,Austria,"One star",1010,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,"Classic cuisine",$$$$$
SHIKI,2019,48.204067,16.37098,Wien,Austria,"One star",1010,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,Japanese,$$$$$
Tian,2019,48.20513,16.37456,Wien,Austria,"One star",1010,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,Vegetarian,$$$$$
aend,2019,48.18957,16.34115,Wien,Austria,"One star",1010,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,"Modern cuisine",$$$$$
"Le Ciel by Toni Mörwald",2019,48.20209,16.37156,Wien,Austria,"One star",1010,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,"Classic cuisine",$$$$$
"Chez TJ",2019,37.39468,-122.08044,"South San Francisco",California,"One star",94041,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,Contemporary,$$$$
Protégé,2019,37.427853,-122.14362,"South San Francisco",California,"One star",94301,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,Contemporary,$$$
Madera,2019,37.42014,-122.21151,"San Francisco",California,"One star",94025,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,Contemporary,$$$
"The Village Pub",2019,37.42897,-122.25178,"San Francisco",California,"One star",94062,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,Contemporary,$$$
"Plumed Horse",2019,37.25648,-122.03537,"South San Francisco",California,"One star",95070,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,Contemporary,$$$$
Wakuriya,2019,37.52114,-122.3366,"San Francisco",California,"One star",94402,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,Japanese,$$$$
"Sushi Yoshizumi",2019,37.565075,-122.3211,"San Francisco",California,"One star",94401,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,Japanese,$$$$
Rasa,2019,37.577522,-122.345985,"San Francisco",California,"One star",94010,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,Indian,$$
Maum,2019,37.72669,-122.414215,"South San Francisco",California,"One star",94101,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,Korean,$$$$
"Al's Place",2019,37.748924,-122.42013,"San Francisco",California,"One star",94110,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,Californian,$$
Aster,2019,37.755054,-122.423134,"San Francisco",California,"One star",94110,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,Californian,$$$
